id,category,country,city,lat,lng,color
24830,listing,US,San Francisco,37.76649857,-122.4199829,yellow
24835,listing,US,San Francisco,37.76649857,-122.4199829,yellow
24939,listing,US,San Francisco,37.7590332,-122.434845,yellow
24995,listing,US,San Francisco,37.75077438,-122.4392929,gray
25084,listing,US,San Francisco,37.7647438,-122.4360123,gray
25168,listing,US,San Francisco,37.78813553,-122.44841,gray
25198,listing,US,San Francisco,37.77425385,-122.424202,yellow
25351,listing,US,San Francisco,37.79068375,-122.4098969,gray
25401,listing,US,San Francisco,37.76910782,-122.4434052,gray
25402,listing,US,San Francisco,37.76910782,-122.4434052,gray
25410,listing,US,San Francisco,37.76676941,-122.4317551,gray
25463,listing,US,San Francisco,37.7728653,-122.4318924,gray
25482,listing,US,San Francisco,37.79101563,-122.4076996,gray
25662,listing,US,San Francisco,37.76113892,-122.3947067,gray
25927,listing,US,San Francisco,37.78779984,-122.4300003,gray
26196,listing,US,San Francisco,37.76107788,-122.4234238,yellow
26228,listing,US,San Francisco,37.76649857,-122.4199829,yellow
26488,listing,US,San Francisco,37.79180908,-122.3922195,gray
26778,listing,US,San Francisco,37.80490875,-122.4191742,gray
26843,listing,US,San Francisco,37.74764633,-122.4403229,gray
26955,listing,US,San Francisco,37.76196671,-122.4083633,gray
27002,listing,US,San Francisco,37.75521469,-122.4266357,gray
27246,listing,US,San Francisco,37.76972961,-122.4223633,gray
27677,listing,US,San Francisco,37.8006897,-122.4042892,gray
28336,listing,US,San Francisco,37.77838135,-122.4338379,gray
29373,listing,US,San Francisco,37.73778534,-122.4107285,gray
29557,listing,US,San Francisco,37.77830124,-122.5042877,gray
29584,listing,US,San Francisco,37.7590065,-122.4085007,gray
29707,listing,US,San Francisco,37.79314423,-122.4333191,gray
30185,listing,US,San Francisco,37.78702927,-122.3936386,gray
30738,listing,US,San Francisco,37.74730682,-122.4321289,gray
31150,listing,US,San Francisco,37.77976608,-122.4933167,gray
32026,listing,US,San Francisco,37.75354385,-122.4237442,gray
32414,listing,US,San Francisco,37.7396431,-122.4123459,gray
32527,listing,US,San Francisco,37.77151871,-122.4328156,gray
32564,listing,US,San Francisco,37.76676559,-122.4459839,gray
32894,listing,US,San Francisco,37.79084778,-122.4352875,gray
33087,listing,US,San Francisco,37.77728653,-122.4425049,gray
33577,listing,US,San Francisco,37.76435852,-122.3966751,gray
33578,listing,US,San Francisco,37.76435852,-122.3966751,gray
33615,listing,US,San Francisco,37.74216843,-122.4188004,gray
34297,listing,US,San Francisco,37.73852158,-122.4175034,gray
34657,listing,US,San Francisco,37.79102707,-122.4293289,gray
34799,listing,US,San Francisco,37.75211716,-122.4004135,gray
36870,listing,US,San Francisco,37.7866745,-122.4016342,gray
37016,listing,US,San Francisco,37.75870514,-122.4362335,yellow
37047,listing,US,San Francisco,37.76273727,-122.4312286,gray
38607,listing,US,San Francisco,37.78219986,-122.4570313,gray
38676,listing,US,San Francisco,37.73942947,-122.4230957,gray
38935,listing,US,San Francisco,37.74837112,-122.4191666,gray
39128,listing,US,San Francisco,37.76148987,-122.425209,gray
39134,listing,US,San Francisco,37.76148987,-122.425209,gray
39174,listing,US,San Francisco,37.74800873,-122.4259491,gray
39418,listing,US,San Francisco,37.74176025,-122.4209595,gray
39753,listing,US,San Francisco,37.75650787,-122.4098053,gray
40092,listing,US,San Francisco,37.76079178,-122.4200134,yellow
40138,listing,US,San Francisco,37.78234863,-122.4490891,gray
40316,listing,US,San Francisco,37.77545547,-122.4565811,gray
40418,listing,US,San Francisco,37.74962997,-122.441597,gray
40685,listing,US,San Francisco,37.76207733,-122.5051498,gray
40993,listing,US,San Francisco,37.78766632,-122.415596,yellow
41055,listing,US,San Francisco,37.76015472,-122.4338226,yellow
41057,listing,US,San Francisco,37.7483139,-122.4261551,gray
41069,listing,US,San Francisco,37.76187515,-122.4317856,yellow
41172,listing,US,San Francisco,37.74131775,-122.4181747,gray
41423,listing,US,San Francisco,37.73630142,-122.4336243,gray
41609,listing,US,San Francisco,37.78981018,-122.4125824,yellow
41623,listing,US,San Francisco,37.79985809,-122.4144058,gray
41730,listing,US,San Francisco,37.76284409,-122.4290161,gray
41867,listing,US,San Francisco,37.77730942,-122.424324,yellow
42397,listing,US,San Francisco,37.75680542,-122.440361,gray
42403,listing,US,San Francisco,37.73469162,-122.4180145,gray
42408,listing,US,San Francisco,37.73469162,-122.4180145,gray
42572,listing,US,San Francisco,37.76314163,-122.4247055,yellow
42573,listing,US,San Francisco,37.76913834,-122.4335556,gray
42577,listing,US,San Francisco,37.75543213,-122.3875885,gray
43134,listing,US,San Francisco,37.75192261,-122.4240112,gray
43732,listing,US,San Francisco,37.74690628,-122.4474945,gray
43736,listing,US,San Francisco,37.74690628,-122.4474945,gray
43768,listing,US,San Francisco,37.75777435,-122.406723,gray
43778,listing,US,San Francisco,37.77187347,-122.4422455,gray
43793,listing,US,San Francisco,37.77251053,-122.5053558,gray
43988,listing,US,San Francisco,37.78463745,-122.4159927,gray
44032,listing,US,San Francisco,37.7519989,-122.413002,gray
44067,listing,US,San Francisco,37.75408173,-122.4318008,gray
44323,listing,US,San Francisco,37.75734329,-122.420578,yellow
44512,listing,US,San Francisco,37.76038361,-122.3895035,gray
44688,listing,US,San Francisco,37.78750992,-122.4241333,gray
45202,listing,US,San Francisco,37.76825714,-122.4250946,gray
45692,listing,US,San Francisco,37.75529861,-122.4339981,gray
45785,listing,US,San Francisco,37.76408768,-122.4108276,gray
45900,listing,US,San Francisco,37.7803421,-122.4115295,gray
45939,listing,US,San Francisco,37.79100037,-122.4140015,gray
45956,listing,US,San Francisco,37.77315903,-122.4296112,gray
46589,listing,US,San Francisco,37.78789902,-122.4120026,gray
46742,listing,US,San Francisco,37.76091385,-122.4348297,yellow
47077,listing,US,San Francisco,37.76370239,-122.4167862,gray
47483,listing,US,San Francisco,37.77790451,-122.4375076,gray
47486,listing,US,San Francisco,37.73464584,-122.463707,gray
48032,listing,US,San Francisco,37.76676559,-122.4459839,gray
48037,listing,US,San Francisco,37.76676559,-122.4459839,gray
48039,listing,US,San Francisco,37.77585983,-122.4819489,gray
48332,listing,US,San Francisco,37.75363159,-122.4101791,gray
48471,listing,US,San Francisco,37.75630569,-122.4080124,gray
48628,listing,US,San Francisco,37.77309036,-122.4017639,gray
49559,listing,US,San Francisco,37.74050903,-122.4638138,gray
51073,listing,US,San Francisco,37.7711525,-122.4220581,gray
51374,listing,US,San Francisco,37.76421738,-122.4551239,gray
51557,listing,US,San Francisco,37.77055359,-122.4290085,gray
51773,listing,US,San Francisco,37.7927475,-122.4253998,gray
52059,listing,US,San Francisco,37.77011871,-122.4485245,gray
52205,listing,US,San Francisco,37.78952026,-122.4122772,yellow
52328,listing,US,San Francisco,37.79786301,-122.4240723,gray
52736,listing,US,San Francisco,37.76910782,-122.4434052,gray
52781,listing,US,San Francisco,37.79550171,-122.4349976,gray
53280,listing,US,San Francisco,37.73778534,-122.4107285,gray
53715,listing,US,San Francisco,37.74777222,-122.4870758,gray
54327,listing,US,San Francisco,37.75308609,-122.424118,gray
54329,listing,US,San Francisco,37.75308609,-122.424118,gray
54518,listing,US,San Francisco,37.7922554,-122.4012451,gray
54634,listing,US,San Francisco,37.79275131,-122.4253769,gray
54883,listing,US,San Francisco,37.75913239,-122.4382095,yellow
55166,listing,US,San Francisco,37.80247879,-122.4159393,gray
55275,listing,US,San Francisco,37.79524231,-122.4350967,gray
55338,listing,US,San Francisco,37.75729752,-122.4318466,gray
55632,listing,US,San Francisco,37.78023911,-122.4851761,gray
55636,listing,US,San Francisco,37.7481308,-122.4444962,gray
55921,listing,US,San Francisco,37.75913239,-122.4382095,yellow
56200,listing,US,San Francisco,37.78830338,-122.4366837,gray
56222,listing,US,San Francisco,37.77049255,-122.4149246,gray
56226,listing,US,San Francisco,37.80248261,-122.4159088,gray
56233,listing,US,San Francisco,37.80248642,-122.4158783,gray
56350,listing,US,San Francisco,37.7623024,-122.4688721,gray
56353,listing,US,San Francisco,37.76223373,-122.4042892,gray
56482,listing,US,San Francisco,37.76409531,-122.4617386,gray
56489,listing,US,San Francisco,37.78797913,-122.3898621,gray
56621,listing,US,San Francisco,37.7927475,-122.4253998,gray
56635,listing,US,San Francisco,37.77706528,-122.5029526,gray
57479,listing,US,San Francisco,37.77467346,-122.4378281,gray
57480,listing,US,San Francisco,37.80494308,-122.4201889,gray
57561,listing,US,San Francisco,37.74763107,-122.4148865,gray
57593,listing,US,San Francisco,37.76581573,-122.435257,gray
58541,listing,US,San Francisco,37.79199219,-122.3980179,gray
58887,listing,US,San Francisco,37.76282883,-122.4245071,yellow
59126,listing,US,San Francisco,37.76283646,-122.440239,gray
59250,listing,US,San Francisco,37.79833603,-122.4276428,gray
59314,listing,US,San Francisco,37.77795029,-122.408226,gray
59344,listing,US,San Francisco,37.74523926,-122.4280624,gray
59381,listing,US,San Francisco,37.80198288,-122.414917,gray
59565,listing,US,San Francisco,37.7566185,-122.4177704,gray
59702,listing,US,San Francisco,37.73680115,-122.4120636,gray
60015,listing,US,San Francisco,37.76416016,-122.3881454,gray
60038,listing,US,San Francisco,37.75544739,-122.3994217,gray
60101,listing,US,San Francisco,37.73753738,-122.4155807,gray
60365,listing,US,San Francisco,37.77033615,-122.435936,gray
60659,listing,US,San Francisco,37.80331802,-122.4089584,gray
60812,listing,US,San Francisco,37.76592255,-122.4212723,yellow
61197,listing,US,San Francisco,37.74194717,-122.4146042,gray
61333,listing,US,San Francisco,37.77412033,-122.4207382,gray
61589,listing,US,San Francisco,37.78958511,-122.4110489,yellow
62107,listing,US,San Francisco,37.75001526,-122.4146347,gray
62312,listing,US,San Francisco,37.77664948,-122.4179764,gray
62347,listing,US,San Francisco,37.76826477,-122.4320526,gray
62356,listing,US,San Francisco,37.7580452,-122.4212494,yellow
62558,listing,US,San Francisco,37.73110962,-122.4578247,gray
62651,listing,US,San Francisco,37.76314163,-122.424675,yellow
63247,listing,US,San Francisco,37.75001907,-122.4149246,gray
63411,listing,US,San Francisco,37.7888298,-122.4371796,gray
63454,listing,US,San Francisco,37.7854538,-122.4157867,yellow
63625,listing,US,San Francisco,37.75468826,-122.4250183,gray
64155,listing,US,San Francisco,37.75607681,-122.4232712,gray
64165,listing,US,San Francisco,37.79863358,-122.4327087,gray
64332,listing,US,San Francisco,37.78119659,-122.393837,gray
64413,listing,US,San Francisco,37.75637054,-122.4115982,gray
64786,listing,US,San Francisco,37.77834702,-122.4341354,gray
64794,listing,US,San Francisco,37.76423264,-122.4302673,gray
64846,listing,US,San Francisco,37.77152634,-122.4447861,gray
65665,listing,US,San Francisco,37.78601456,-122.4737396,gray
66119,listing,US,San Francisco,37.77842331,-122.4792557,gray
66188,listing,US,San Francisco,37.77611542,-122.5084915,gray
66432,listing,US,San Francisco,37.76983261,-122.4336243,gray
66543,listing,US,San Francisco,37.77768326,-122.4392624,gray
66610,listing,US,San Francisco,37.76284409,-122.4290161,gray
66664,listing,US,San Francisco,37.75638199,-122.4654465,gray
67085,listing,US,San Francisco,37.75194168,-122.4121704,gray
67499,listing,US,San Francisco,37.75892639,-122.4316025,gray
67818,listing,US,San Francisco,37.7605896,-122.3943863,gray
68239,listing,US,San Francisco,37.75489426,-122.4239807,gray
68249,listing,US,San Francisco,37.76919937,-122.4506683,yellow
68454,listing,US,San Francisco,37.76028442,-122.433815,yellow
69103,listing,US,San Francisco,37.80488205,-122.4178543,gray
69285,listing,US,San Francisco,37.7988205,-122.4067383,orange
69287,listing,US,San Francisco,37.79880905,-122.4068222,orange
69410,listing,US,San Francisco,37.77510071,-122.4643631,gray
69531,listing,US,San Francisco,37.76213074,-122.4318085,yellow
69549,listing,US,San Francisco,37.73077011,-122.4258728,gray
69553,listing,US,San Francisco,37.73072433,-122.4243622,gray
69681,listing,US,San Francisco,37.77611542,-122.5084686,gray
69685,listing,US,San Francisco,37.80129623,-122.403923,gray
69830,listing,US,San Francisco,37.75692749,-122.439003,gray
69848,listing,US,San Francisco,37.76273727,-122.4312286,gray
70139,listing,US,San Francisco,37.74630737,-122.4232864,gray
70185,listing,US,San Francisco,37.7673111,-122.4480591,yellow
70284,listing,US,San Francisco,37.79391479,-122.4055023,gray
70733,listing,US,San Francisco,37.77720261,-122.4560623,gray
70746,listing,US,San Francisco,37.77645874,-122.4328842,gray
70753,listing,US,San Francisco,37.79370117,-122.4041672,gray
71112,listing,US,San Francisco,37.73077011,-122.4258728,gray
71245,listing,US,San Francisco,37.76983261,-122.4336243,gray
71439,listing,US,San Francisco,37.7892189,-122.3912582,gray
71554,listing,US,San Francisco,37.76398087,-122.4620438,gray
71779,listing,US,San Francisco,37.77510071,-122.4643631,gray
71789,listing,US,San Francisco,37.75590515,-122.4072189,gray
71851,listing,US,San Francisco,37.79917526,-122.4193802,gray
72021,listing,US,San Francisco,37.79511642,-122.4136963,gray
72365,listing,US,San Francisco,37.77497101,-122.4322968,gray
72444,listing,US,San Francisco,37.79370117,-122.4041672,gray
72506,listing,US,San Francisco,37.78685761,-122.3939056,gray
72921,listing,US,San Francisco,37.77497101,-122.4322968,gray
73011,listing,US,San Francisco,37.77157974,-122.4183121,gray
73508,listing,US,San Francisco,37.77930832,-122.4056396,gray
73596,listing,US,San Francisco,37.78464127,-122.4085007,gray
74068,listing,US,San Francisco,37.77834702,-122.4341354,gray
74450,listing,US,San Francisco,37.75954056,-122.4461517,gray
74528,listing,US,San Francisco,37.74219513,-122.4191513,gray
74645,listing,US,San Francisco,37.75143433,-122.4169617,gray
74694,listing,US,San Francisco,37.75016403,-122.4088593,gray
74699,listing,US,San Francisco,37.77915955,-122.4332962,gray
74758,listing,US,San Francisco,37.73077011,-122.4258728,gray
75043,listing,US,San Francisco,37.79093552,-122.4293365,gray
75251,listing,US,San Francisco,37.74143982,-122.4240723,gray
75253,listing,US,San Francisco,37.78337097,-122.4606018,gray
75422,listing,US,San Francisco,37.73077011,-122.4258728,gray
75423,listing,US,San Francisco,37.73077011,-122.4258728,gray
76807,listing,US,San Francisco,37.75363159,-122.4414291,gray
77175,listing,US,San Francisco,37.73717117,-122.4360352,gray
77379,listing,US,San Francisco,37.78601456,-122.4737396,gray
77389,listing,US,San Francisco,37.78601456,-122.4737396,gray
77390,listing,US,San Francisco,37.78601456,-122.4737396,gray
77391,listing,US,San Francisco,37.78601456,-122.4737396,gray
77568,listing,US,San Francisco,37.77645874,-122.4328842,gray
77656,listing,US,San Francisco,37.77645874,-122.4328842,gray
77735,listing,US,San Francisco,37.79087067,-122.4140244,gray
77932,listing,US,San Francisco,37.73072433,-122.4243622,gray
